transaction_id,user_id,amount,transaction_type,status
1,325,96111,DEBIT,FAILED
2,150,12080,CREDIT,SUCCESS
3,113,71734,CREDIT,FAILED
4,119,95743,CREDIT,SUCCESS
5,169,27997,CREDIT,SUCCESS
6,203,46898,CREDIT,FAILED
7,306,75234,DEBIT,SUCCESS
8,174,53856,CREDIT,SUCCESS
9,438,80683,DEBIT,FAILED
10,424,63722,DEBIT,SUCCESS
11,420,66615,DEBIT,SUCCESS
12,498,58560,DEBIT,SUCCESS
13,111,51900,CREDIT,SUCCESS
14,147,43015,DEBIT,SUCCESS
15,473,48686,CREDIT,SUCCESS
16,390,77686,DEBIT,SUCCESS
17,100,15867,CREDIT,FAILED
18,142,12143,CREDIT,FAILED
19,430,64852,CREDIT,SUCCESS
20,440,65143,DEBIT,SUCCESS
21,392,6078,CREDIT,SUCCESS
22,263,82893,DEBIT,FAILED
23,197,82171,CREDIT,FAILED
24,401,96059,DEBIT,SUCCESS
25,109,76379,DEBIT,SUCCESS
26,174,27861,DEBIT,SUCCESS
27,460,92561,CREDIT,SUCCESS
28,249,62105,DEBIT,SUCCESS
29,377,65451,DEBIT,FAILED
30,436,57427,CREDIT,SUCCESS
31,485,16774,CREDIT,SUCCESS
32,252,45238,DEBIT,SUCCESS
33,177,72198,CREDIT,SUCCESS
34,312,98528,DEBIT,SUCCESS
35,438,33311,CREDIT,SUCCESS
36,290,87603,DEBIT,SUCCESS
37,269,21352,CREDIT,SUCCESS
38,426,66430,DEBIT,SUCCESS
39,395,87870,DEBIT,FAILED
40,420,6463,DEBIT,SUCCESS
41,488,25165,DEBIT,SUCCESS
42,318,80263,CREDIT,FAILED
43,464,92636,DEBIT,SUCCESS
44,141,76963,DEBIT,SUCCESS
45,182,39812,CREDIT,SUCCESS
46,280,91019,CREDIT,SUCCESS
47,476,61832,CREDIT,SUCCESS
48,325,10454,DEBIT,FAILED
49,487,93072,DEBIT,SUCCESS
50,456,19163,DEBIT,SUCCESS
51,408,76276,CREDIT,SUCCESS
52,355,73814,DEBIT,SUCCESS
53,315,45915,CREDIT,FAILED
54,486,99693,CREDIT,FAILED
55,181,7828,CREDIT,SUCCESS
56,181,72697,DEBIT,SUCCESS
57,206,90537,CREDIT,SUCCESS
58,169,30738,DEBIT,SUCCESS
59,286,86492,DEBIT,FAILED
60,486,96385,CREDIT,FAILED
61,418,62941,DEBIT,SUCCESS
62,115,19321,CREDIT,SUCCESS
63,445,47308,CREDIT,SUCCESS
64,261,33178,DEBIT,FAILED
65,474,38910,DEBIT,FAILED
66,292,34832,CREDIT,FAILED
67,206,22182,CREDIT,SUCCESS
